rYH,56,-339.2725859137112,269,,50,FIRE,MKo,1911:11:30:5:38:42,YELLOW,RED,NORTH_KOREA,129,287,-385
fQB,227,37.84084251532681,139,EWJhcITLqLBoabREmhMIdvPZbyrgfBbEdsIoBtmODHAWPNRdlvibMoTdvJyrrMoeaKgyIbkGVvCICVYmVCSjSvEDPUWrLf,27,UNDERGROUND,WzlGtySVaBTERlB,2010:5:31:20:35:17,BLACK,ORANGE,USA,-76,356,-495
Ahzu,258,379.5643714848293,94,kuNDZQkDVHXKmggtZchaioRgkQtHkZiTunGStKcmGWAqBzKReeGDO,86,AIR,HWlBLavhjDjzv,2015:12:31:11:45:29,BLACK,RED,ITALY,324,-300,259
CV,124,-451.98369238936897,76,jNqQCqXBIYyxrJSzGfKFoIEPplHWOchTAJGkbnQqEheNwUcjwPaDrUbbGGPGBCokFATKmDUaQLSSpkkRsxI,48,WATER,sqAKQuHBPQgRktRbKiHP,1997:9:30:11:24:8,YELLOW,WHITE,NORTH_KOREA,-337,83,-154
jKjyxvioSUoVspJx,-148,246.21062764987573,181,hGlnoOMxdxyFjytfOXcUThkkAY,73,FIRE,QVFPSAANGILWACp,1948:6:30:7:11:46,GREEN,GREEN,INDIA,93,-32,238
TOdlDeVoKb,30,-477.9353146134402,174,SzltJYhGuoySPwxUXbNgcgEpQHPXivk,59,UNDERGROUND,Fs,1978:9:30:22:37:50,RED,GREEN,NORTH_KOREA,-54,-279,77
c,-185,23.91445881871175,274,NDHHNWglxAHYROBSRMrunFIWpVOdsUbyjREVcRdoIkoHOkeMCAlkzdq,33,UNDERGROUND,kIqmLi,2003:12:31:2:49:18,ORANGE,RED,USA,-390,-262,340
GaWTZP,-245,158.33102861947975,195,,10,AIR,dpwLhRiGt,1994:3:31:17:11:27,WHITE,ORANGE,NORTH_KOREA,167,-464,-474
WKJNUTNAin,95,-369.25230998487257,198,,51,UNDERGROUND,VCgXO,1975:12:31:19:58:18,GREEN,WHITE,INDIA,380,-483,-69
Quuwe,20,308.11606842376125,111,HaJUnPEsHtoxguEJGqHcGNRpwTfrapvYkuqlKPQjgQvuRXSmAeubOpHUuyux,66,WATER,UGqfyPaRGoRIlGiW,1945:7:31:6:18:43,YELLOW,YELLOW,VATICAN,156,476,279
